               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060462,            0.026322,            0.038681,             0.68245,             0.22454,             0.23349,             0.13954,            0.033539,           0.0077052,            0.031966,            0.070056,           0.0033271,           0.0033271
                   1,            0.039923,            0.020486,             0.03123,             0.45183,             0.37221,              0.3089,             0.18285,            0.035106,           0.0061631,            0.023709,            0.039836,           0.0064406,           0.0064406
                   2,            0.039204,            0.019375,            0.022458,               0.592,             0.55257,             0.49299,             0.27893,            0.029806,           0.0062679,            0.012849,           0.0093967,           0.0093342,           0.0093342
                   3,            0.036517,            0.019308,              0.0164,             0.73498,             0.48945,             0.55964,             0.34268,            0.030245,           0.0066173,            0.012811,             0.00901,             0.00901,             0.00901
                   4,            0.035005,            0.019716,            0.015516,             0.78601,             0.57973,             0.62515,             0.40444,            0.026254,           0.0066565,           0.0088332,             0.00901,             0.00901,             0.00901
                   5,             0.03387,            0.019297,            0.013852,             0.79916,             0.56463,             0.64172,             0.40333,            0.025326,            0.006491,           0.0076065,             0.00868,             0.00868,             0.00868
                   6,            0.032644,            0.018726,            0.011911,             0.76191,             0.62953,             0.62731,             0.38091,            0.025088,           0.0062778,           0.0082981,             0.00835,             0.00835,             0.00835
                   7,            0.030387,            0.018555,            0.011172,             0.84427,             0.62154,             0.67098,             0.44699,            0.024674,           0.0061111,           0.0075143,             0.00802,             0.00802,             0.00802
                   8,            0.029564,            0.017823,            0.010104,             0.81368,             0.63341,             0.66709,             0.44266,            0.023579,           0.0058842,           0.0077766,             0.00769,             0.00769,             0.00769
                   9,            0.028753,            0.018081,           0.0093138,             0.80914,             0.64649,             0.67803,             0.45782,            0.022554,           0.0059031,           0.0083952,             0.00736,             0.00736,             0.00736
                  10,            0.027596,             0.01772,           0.0089489,             0.83486,             0.67017,             0.68692,             0.48517,            0.022437,           0.0057654,              0.0067,             0.00703,             0.00703,             0.00703
                  11,            0.027931,            0.017393,           0.0092999,             0.83559,             0.66443,             0.70071,             0.49081,            0.020682,           0.0056492,           0.0066392,              0.0067,              0.0067,              0.0067
                  12,            0.027069,            0.017429,           0.0079082,             0.85621,             0.66976,             0.72093,             0.51661,            0.019597,           0.0053434,           0.0072419,             0.00637,             0.00637,             0.00637
                  13,            0.025621,            0.017113,           0.0079251,             0.86252,             0.68567,             0.72204,             0.52576,             0.01952,           0.0052989,            0.005729,             0.00604,             0.00604,             0.00604
                  14,            0.025744,            0.017335,           0.0085061,              0.8753,             0.68091,              0.7209,             0.51559,            0.019512,           0.0055764,           0.0054156,             0.00571,             0.00571,             0.00571
                  15,            0.025708,            0.016804,           0.0074913,             0.86032,             0.70467,             0.73174,             0.54133,            0.018057,           0.0049652,           0.0063358,             0.00538,             0.00538,             0.00538
                  16,            0.024153,            0.016344,           0.0073472,             0.84416,             0.70863,             0.73182,             0.55795,            0.017485,           0.0050081,           0.0066555,             0.00505,             0.00505,             0.00505
                  17,            0.024206,            0.015955,            0.007298,             0.84373,             0.73193,             0.73494,             0.56045,             0.01815,           0.0047784,            0.005423,             0.00472,             0.00472,             0.00472
                  18,            0.023968,            0.015907,           0.0061262,             0.87421,              0.6984,             0.73183,             0.55979,            0.017263,            0.005089,           0.0056195,             0.00439,             0.00439,             0.00439
                  19,             0.02333,            0.015564,           0.0061443,             0.85456,               0.701,             0.73121,             0.55321,            0.016554,           0.0050154,           0.0069164,             0.00406,             0.00406,             0.00406
                  20,            0.023161,            0.016026,           0.0064305,             0.86216,             0.71959,             0.73276,             0.56869,            0.015983,           0.0049231,           0.0063803,             0.00373,             0.00373,             0.00373
                  21,            0.022276,            0.015654,           0.0062781,             0.89187,             0.68828,             0.72545,             0.56707,            0.015762,           0.0048378,           0.0066204,              0.0034,              0.0034,              0.0034
                  22,            0.021766,            0.015297,           0.0056778,             0.86422,             0.70839,             0.72949,              0.5788,            0.015721,           0.0049218,           0.0061931,             0.00307,             0.00307,             0.00307
                  23,            0.021028,            0.015019,           0.0055008,             0.87578,             0.70895,             0.73739,             0.57737,            0.015337,           0.0048786,           0.0061467,             0.00274,             0.00274,             0.00274
                  24,            0.020359,            0.014832,            0.005166,             0.86485,             0.73511,             0.74423,              0.5969,            0.015385,           0.0048878,           0.0059886,             0.00241,             0.00241,             0.00241
                  25,            0.020932,            0.014868,           0.0052925,              0.8483,             0.71045,             0.74161,             0.59066,            0.015637,           0.0048615,            0.005684,             0.00208,             0.00208,             0.00208
                  26,            0.019975,            0.014843,           0.0045672,             0.89402,             0.69764,             0.74158,             0.59494,            0.014798,           0.0048804,           0.0049629,             0.00175,             0.00175,             0.00175
                  27,            0.020573,            0.014747,           0.0050688,             0.88789,             0.68676,             0.74112,             0.59461,              0.0156,            0.004644,           0.0059817,             0.00142,             0.00142,             0.00142
                  28,            0.019454,            0.014558,           0.0050202,             0.86761,             0.73452,             0.74291,             0.60025,            0.014958,           0.0046747,           0.0060498,             0.00109,             0.00109,             0.00109
                  29,            0.019439,             0.01434,           0.0038544,             0.86756,             0.74164,             0.74638,             0.60561,             0.01465,           0.0046943,           0.0059128,             0.00076,             0.00076,             0.00076
